Crime Type,Crime Subtype,Crime Description,Crime Severity,Crime Status,Location,Area/Neighborhood,City,State/Region,Country,Location Type,Date,Time,Day of the Week,Season,Duration,Victim Name,Victim Age,Victim Gender,Victim Contact Information,Victim Statement,Injuries Sustained,Property Lost/Damaged,Suspect Name,Suspect Age,Suspect Gender,Suspect Description,Suspect Criminal History,Suspect Modus Operandi,Number of Suspects,Witness Name,Witness Statement,Witness Contact Information,Evidence Type,Evidence Description,Evidence Collection Date,Evidence Location,Arrests Made,Charges Filed,Method of Entry,Weapons Used,Tools Used,Escape Route,Monetary Loss,Motive,Crime Pattern,Gang Involvement,Terrorism Link,Media Coverage,Public Alert Issued,Social Media Activity,Source of Information,Confidentiality Level,Tags/Keywords
Kidnapping/Abduction,Child Abduction,Provident adipisci magni inventore excepturi exercitationem sit minima iste culpa quas debitis sint debitis reiciendis voluptatibus aliquam recusandae ipsam.,Moderate,Reported,"51
Bose Chowk, Hosur 403509",Hubli–Dharwad,Ludhiana,Punjab,India,Public Space,2024-06-04,09:35:35,Thursday,Summer,58 minutes,Emir Ben,36,Female,6630546127,Everyone wants what the advantage is to be pleasing for the mind to achieve less than nothing.,Head injury,Car windshield broken,Kashvi Kadakia,29,Other,Possimus similique voluptatem aliquid ratione animi sapiente cupiditate nostrum. Wearing a black hoodie and had a scar on the left cheek.,Convicted for assault in 2018,Broke in through the backdoor,4,Bhavin Bedi,To be loosed easy often to follow or to be accepted architect of the perferve of the truth of the worse than the result of the truth.,915688534033,Weapon,Witness video recording,1988-02-02,"07/453, Ramaswamy Path
Vijayawada-957719",Yes,Under IPC 302 for murder,Unlocked Door,Blunt Object,Hacking Software,Boarded a train to another city,Rs. 130503,Financial Gain,No,No,No,Yes,Yes,Yes,Witness Account,Restricted,child abduction
Robbery,Unarmed Robbery,Pariatur hic totam saepe provident dicta non sapiente quis ipsum officiis exercitationem culpa quae optio.,Severe,Closed,"621, Chad Road, Visakhapatnam 332882",Siliguri,Ludhiana,Punjab,India,Residential,2012-03-03,07:47:51,Saturday,Autumn,42 minutes,Kavya Bhardwaj,37,Other,6280188888,"Consequences at the time of the time for the pleasure of the flight, which the error of the pain of the discomfort.",Multiple stab wounds,House ransacked,Vidur Dave,45,Other,Repellendus quae fuga beatae deserunt adipisci in veritatis ad quod commodi delectus eveniet quis dolor. Wearing a black hoodie and had a scar on the left cheek.,Convicted for assault in 2018,Broke in through the backdoor,5,Ehsaan Mane,An error requires an option to be easy for the one of the provision to be.,7667805116,Weapon,Fingerprints found on the crime scene,1999-10-25,"H.No. 754, Chandran Path, Silchar 777678",Yes,Case registered under cybercrime act,Forced Entry,Gun,Lockpick,Ran into a crowded market,Rs. 13332,Gang Rivalry,Yes,Yes,Yes,No,Yes,Yes,Victim Statement,Classified,unarmed robbery
Murder/Homicide,First-degree Murder,Incidunt cupiditate voluptatibus eaque officia debitis autem aut accusamus similique quo atque error voluptatem similique reiciendis commodi aperiam minus aliquid ipsum fugiat doloremque.,Minor,Reported,"58/91
Sarin Road, Rourkela 421639",Aizawl,Ludhiana,Punjab,India,Residential,1987-10-22,03:15:31,Saturday,Winter,32 minutes,Anay Gandhi,29,Male,1334384855,"Occaecati escaped of life, the kind of pain is like an intense consequences of a great mistake.",Burn injuries,Laptop and cash stolen,Zoya Soman,33,Female,Eius inventore alias dicta qui tempora pariatur unde harum blanditiis vero similique sint at. Wearing a black hoodie and had a scar on the left cheek.,Suspected involvement in local gang,Threatened victims with a knife,2,Heer Joshi,"Baby pleasure unless the pain of us every man is any annoyances option rejected, so the pleasure of the occaecati, who is the time of the exercise is bound to denounced.",913415592978,Weapon,Fingerprints found on the crime scene,1996-11-04,"H.No. 385
Aggarwal Path, Nellore-075817",No,Arrested and charged for human trafficking,Security Breach,Gun,Hacking Software,Boarded a train to another city,Rs. 40807,Financial Gain,No,No,No,Yes,No,Yes,Police Report,Public,first-degree murder
Robbery,Highway Robbery,Repellat magni porro laborum quasi tempore aperiam ea sint repellat maxime officiis voluptates fugit illo quam ab omnis perferendis corporis repellendus inventore accusamus.,Minor,Under Investigation,"135, Doctor Ganj, Gopalpur-606496",Gaya,Ludhiana,Punjab,India,Public Space,2000-04-13,09:50:52,Friday,Autumn,112 minutes,Mahika Deshmukh,21,Male,896600698,"Often the troubles, and the pleasure of a regular, and the pleasure of the blandishes, and because it is, or I will come from.",Minor bruises,Jewelry worth Rs. 2 lakhs stolen,Umang Tiwari,49,Female,Consectetur fuga inventore deleniti quaerat quasi provident libero itaque possimus ea impedit in natus odio. Wearing a black hoodie and had a scar on the left cheek.,Convicted for assault in 2018,Set fire to the evidence,3,Tejas Bal,Tempora iste odio eius est vitae natus maiores eligendi libero atque voluptas.,919790528332,Weapon,Witness video recording,2016-08-06,"514, Jha Ganj
Tinsukia 703126",Yes,Charged under IPC 392 for robbery,Unlocked Door,Gun,Hacking Software,Left the country using a fake passport,Rs. 252720,Gang Rivalry,No,Yes,No,Yes,Yes,Yes,Police Report,Restricted,highway robbery
Traffic and Vehicle Crimes,Hit-and-Run,Quod culpa incidunt nihil dolorum aperiam enim quam cumque atque rem amet ut optio.,Severe,Solved,"H.No. 825
Char Street
Guna-909517",Muzaffarpur,Ludhiana,Punjab,India,Public Space,1996-05-15,20:59:11,Thursday,Autumn,14 minutes,Dhanush Sekhon,58,Other,8766793882,"He is less than the exercise of the greater the flight, no one criticized the thing that hinders to explain a great criticized our needs.",Fractured arm,House ransacked,Anya Swaminathan,48,Female,Eaque quas repudiandae unde libero voluptatum dolor pariatur ad expedita necessitatibus cupiditate quis voluptatum voluptas dolorem. Wearing a black hoodie and had a scar on the left cheek.,Previously arrested for burglary,Set fire to the evidence,5,Sana Tata,"Offices of the life of the care of the care of the pleasures of this, from here to please us to be assumed that our how often hate the hard work.",911640089045,CCTV Footage,Fingerprints found on the crime scene,1983-11-10,"80/06
Gour Chowk
Surendranagar Dudhrej-485196",No,No charges filed yet,Forced Entry,,Lockpick,Escaped using a fake taxi,Rs. 473776,Personal Vendetta,Yes,Yes,Yes,No,Yes,Yes,Police Report,Restricted,hit-and-run
Gang Violence,Rival Attack,Nisi pariatur nemo quasi corporis repudiandae dicta magni voluptatem possimus iste ab eius dolore hic dolor commodi debitis.,Moderate,Solved,"32, Rajagopal, Amaravati-163165",Bharatpur,Ludhiana,Punjab,India,Commercial,2004-10-07,04:06:12,Friday,Winter,20 minutes,Akarsh Dasgupta,49,Male,9875460920,"To avoid pleasure abandon the reason, but our abandoned mistake born of the presence of the presence of the comfort of the blessed.",Multiple stab wounds,Laptop and cash stolen,Divyansh Andra,26,Other,Ratione accusantium repudiandae veniam laboriosam quidem beatae blanditiis quo numquam delectus. Wearing a black hoodie and had a scar on the left cheek.,Wanted in two states,Used a stolen car for escape,2,Nirvaan Kannan,Let him find him his snacks and the consectetur of their duties.,912320192951,CCTV Footage,Murder weapon recovered from trash,1988-08-31,"38/446, Ramaswamy Path, Kamarhati 552030",Yes,Arrested and charged for human trafficking,Security Breach,Gun,Lockpick,Boarded a train to another city,Rs. 429404,Gang Rivalry,No,Yes,Yes,Yes,Yes,Yes,Police Report,Public,rival attack
Kidnapping/Abduction,Forced Confinement,Ut ab corporis ab saepe totam asperiores dignissimos saepe velit sit vel temporibus velit sed maiores magni sed distinctio eos eveniet voluptas corrupti veniam itaque ea.,Minor,Reported,"H.No. 79
Issac Ganj
Pimpri-Chinchwad 660248",Asansol,Ludhiana,Punjab,India,Public Space,1994-02-24,09:19:14,Thursday,Winter,21 minutes,Nakul Dar,32,Male,8777703989,Dolorem est blanditiis illo deserunt et eveniet fuga sint tempora.,Head injury,Shop looted overnight,Biju Sagar,33,Male,Pariatur itaque natus error ea magni nihil ut. Wearing a black hoodie and had a scar on the left cheek.,Previously arrested for burglary,Broke in through the backdoor,2,Samar Kota,Single eagerness at the time of the truth of all the pleasure of the pleasure of the other to be prepared with the pain and.,1538895811,CCTV Footage,Fingerprints found on the crime scene,2003-06-17,"29/13
Sem Chowk
Kalyan-Dombivli-617191",No,No charges filed yet,Security Breach,Blunt Object,,Fled on a stolen bike,Rs. 450578,Financial Gain,Yes,Yes,Yes,No,Yes,Yes,Police Report,Public,forced confinement
Assault,Physical Assault,Similique distinctio commodi rem iusto vitae amet recusandae cum quasi nam ipsa.,Severe,Solved,"44/206, Gopal Path, Imphal 528120",Tadepalligudem,Ludhiana,Punjab,India,Public Space,2024-05-12,08:18:10,Monday,Monsoon,68 minutes,Sahil Bahl,26,Female,2757855093,"And for that, because there is no powers of the time of the film is to be prepared, are the flight of the deleniti.","No physical injuries, but mental trauma",Bike set on fire,Rohan Kara,37,Male,Debitis dolores cum ipsam nihil aliquid commodi. Wearing a black hoodie and had a scar on the left cheek.,No prior criminal record,Broke in through the backdoor,5,Mohanlal Singhal,"To obtain the election of any right of any of that free, however, are the pleasures of it.",912854490085,DNA Sample,Bank statements proving embezzlement,1995-11-18,"05, Kothari Ganj, Adoni 987185",No,Charged under IPC 392 for robbery,Forced Entry,,Lockpick,Boarded a train to another city,Rs. 135178,Personal Vendetta,Yes,Yes,No,No,No,Yes,Witness Account,Classified,physical assault
Gang Violence,Rival Attack,Quas earum doloremque assumenda rerum distinctio non eligendi cum voluptas assumenda qui dicta animi incidunt.,Severe,Under Investigation,"496
Wali Path, Berhampur-868013",Ambala,Ludhiana,Punjab,India,Residential,1982-07-10,19:18:16,Sunday,Winter,36 minutes,Nakul Zacharia,25,Other,912968921138,"Services at the optation of the consequences of the consequences of the consequences of a loose, and rejects them, and rejects them.",Head injury,House ransacked,Nayantara Kumer,38,Male,Voluptatem nostrum voluptates ullam blanditiis perferendis natus voluptates magnam perferendis fuga quidem molestiae labore. Wearing a black hoodie and had a scar on the left cheek.,Convicted for assault in 2018,Broke in through the backdoor,1,Anay Mannan,"It is not soothing a tiny tiny man with their flight and pain, however, the option is impeding to explain any distinction.",917581696437,DNA Sample,Witness video recording,2004-10-24,"31/140, Trivedi Ganj, Bellary-529567",No,Case registered under cybercrime act,Unlocked Door,,Hacking Software,Used a tunnel behind the house,Rs. 486197,Gang Rivalry,Yes,Yes,No,No,No,No,Police Report,Classified,rival attack
Financial Crimes,Identity Theft,Harum ea pariatur doloremque odio est quidem adipisci sit dolorum laudantium animi quisquam numquam in nostrum voluptate et a quod suscipit dolore rerum voluptatem incidunt molestias eveniet.,Severe,Reported,"H.No. 197, Vaidya Circle, Sasaram-740491",Nagaon,Ludhiana,Punjab,India,Public Space,2022-07-22,06:33:17,Wednesday,Autumn,37 minutes,Adira Ravi,33,Male,4275991241,"Right pleasure incident rejects the desire for our times, no reason to be selected at this reason, but no one is to be attracted to the pleasures of the pleasure.",Head injury,Laptop and cash stolen,Eva Varty,24,Female,Voluptate natus natus accusamus natus dolore fuga eligendi sit odit rerum consequatur quis debitis perferendis cupiditate. Wearing a black hoodie and had a scar on the left cheek.,Convicted for assault in 2018,Used a stolen car for escape,1,Hansh Kala,"The right of the body in the debts of the pleasure of the environment to be present, often present this pain here to be pleasing to the offices of snacks rejects no one receives.",9305231660,Fingerprint,CCTV footage showing the suspect,1978-01-16,"H.No. 507, Kalita Marg
Dhule-782330",No,Arrested and charged for human trafficking,Security Breach,Gun,,Used a tunnel behind the house,Rs. 139789,Personal Vendetta,Yes,No,Yes,No,No,Yes,Victim Statement,Classified,identity theft
Kidnapping/Abduction,Forced Confinement,Soluta officia error sunt nemo sequi sequi voluptatem veniam architecto architecto modi sapiente non atque.,Moderate,Solved,"H.No. 309
Kunda Chowk
Bhavnagar-528558",Solapur,Ludhiana,Punjab,India,Commercial,1995-07-23,01:19:24,Friday,Monsoon,24 minutes,Yasmin Lad,55,Female,912008091545,Another painful to obtain the great one or services to obtain a pleasure to open.,Multiple stab wounds,House ransacked,Rhea Mangat,38,Male,Ut impedit similique reiciendis maxime animi atque quae. Wearing a black hoodie and had a scar on the left cheek.,Previously arrested for burglary,Hacked into bank accounts,3,Indrajit Srinivasan,"Follow the repudiated with her to be prepared to prevent them to cheering, the will be held by the consectetur to follow the great encounter.",7192075531,DNA Sample,CCTV footage showing the suspect,1976-06-12,"17
Bandi Road, Imphal 713938",No,Case registered under cybercrime act,Unlocked Door,,Hacking Software,Boarded a train to another city,Rs. 445130,Gang Rivalry,No,Yes,No,No,Yes,Yes,Witness Account,Public,forced confinement
Traffic and Vehicle Crimes,Reckless Driving,Ab qui blanditiis magnam temporibus est laboriosam ratione occaecati delectus minima molestiae dolor architecto minus provident id esse temporibus alias labore non repudiandae ex laboriosam vel.,Severe,Reported,"H.No. 17, Banerjee Circle, Vellore 813846",Fatehpur,Ludhiana,Punjab,India,Residential,2013-09-22,15:06:53,Wednesday,Autumn,29 minutes,Neysa Madan,45,Female,7580519171,The enduring pleasure of things do not know our just in pain.,Burn injuries,Car windshield broken,Neelofar Zacharia,33,Female,Optio quas dolores sit ab iusto rem expedita mollitia esse pariatur assumenda. Wearing a black hoodie and had a scar on the left cheek.,Suspected involvement in local gang,Used fake IDs to commit fraud,3,Indranil Bhavsar,"Indeed, the distinction of pleasure criticized which he asks laborious from the most frequently, and the consectetur of the work of the just who is free of present.",4677048194,DNA Sample,Murder weapon recovered from trash,2014-05-24,"23, Mani Nagar, Shimoga-416005",No,Under IPC 302 for murder,Security Breach,Knife,Lockpick,Boarded a train to another city,Rs. 360473,Financial Gain,Yes,Yes,Yes,No,No,No,Police Report,Restricted,reckless driving
Terrorism,Cyber Terrorism,Corporis laudantium dolor fugit doloremque optio commodi similique ipsa illum vitae natus nobis dolorum doloribus praesentium quisquam omnis aperiam maxime repudiandae expedita molestiae.,Moderate,Reported,"44/41, Shroff Circle, Mira-Bhayandar 084210",Kulti,Ludhiana,Punjab,India,Public Space,1982-02-15,18:57:46,Monday,Summer,80 minutes,Uthkarsh Ben,56,Other,912893502252,We have any film or a person who is expedient to be.,Fractured arm,Bike set on fire,Divit Kumer,49,Male,Maxime excepturi quia inventore earum sit nostrum. Wearing a black hoodie and had a scar on the left cheek.,Previously arrested for burglary,Set fire to the evidence,2,Zeeshan Balan,Hatred is the desire to be the truth for the dolores not deleniti when they do not need their pain to choose a great distinction of their responsibilities.,1573246387,DNA Sample,Witness video recording,1982-06-01,"41/316
Saha Marg
Firozabad 820010",No,Arrested and charged for human trafficking,Unlocked Door,Blunt Object,Lockpick,Escaped using a fake taxi,Rs. 452174,Gang Rivalry,Yes,Yes,Yes,Yes,Yes,Yes,Police Report,Public,cyber terrorism
Financial Crimes,Money Laundering,Molestias libero soluta inventore eum libero aperiam modi doloremque placeat sequi praesentium ullam recusandae ad quia temporibus commodi dolore nam sit consequuntur fugiat tempora.,Moderate,Under Investigation,"31, Chada Chowk, Tiruppur 431111",Salem,Ludhiana,Punjab,India,Residential,1988-04-01,23:20:51,Sunday,Monsoon,18 minutes,Mishti Kashyap,49,Other,914437762912,"In fact, the smallest of these things in the case of the smallest of these things, in doing the smallest of these kinds of.",Multiple stab wounds,Car windshield broken,Elakshi Bora,33,Other,Recusandae expedita doloribus a architecto quaerat sapiente incidunt hic debitis quidem culpa aliquid. Wearing a black hoodie and had a scar on the left cheek.,Wanted in two states,Used a stolen car for escape,2,Seher Tailor,Or hates you will explain to praise the interest to achieve the pain of things.,4526874490,CCTV Footage,Witness video recording,1972-02-14,"H.No. 10
Cherian Chowk, Ramgarh 015975",No,Under IPC 302 for murder,Unlocked Door,,,Ran into a crowded market,Rs. 10594,Financial Gain,No,No,Yes,No,Yes,No,Victim Statement,Public,money laundering
